,rank,clique,order,size,missing,added,findqg_l000_time,findqg_l000_jaccard,findqg_l080_time,findqg_l080_jaccard,findqg_L005_time,findqg_L005_jaccard
0,2,30,45,473,0.3,0.30300756084811814,,,31.221458314015763,0.4666666666666667,,
1,2,30,45,473,0.3,0.30300756084811814,,,34.348001206992194,0.4666666666666667,,
2,2,30,45,473,0.3,0.30300756084811814,,,58.815168751985766,0.4666666666666667,,
3,2,30,45,473,0.3,0.30300756084811814,,,61.55886218897649,0.5333333333333333,,
4,2,30,45,473,0.3,0.30300756084811814,,,61.315529204992345,0.5333333333333333,,
0,2,30,45,510,0.25,0.33072099696478685,,,143.6312508120027,0.6,,
1,2,30,45,510,0.25,0.33072099696478685,,,146.97742502999608,0.6,,
2,2,30,45,510,0.25,0.33072099696478685,,,125.42375191798783,0.6,,
3,2,30,45,510,0.25,0.33072099696478685,,,132.30554802401457,0.6,,
4,2,30,45,510,0.25,0.33072099696478685,,,140.38520422898,0.6,,
0,2,30,45,550,0.2,0.3646395015176066,,,299.3452674,0.7666666666666667,,
1,2,30,45,550,0.2,0.3646395015176066,,,175.95631676600897,0.7333333333333333,,
2,2,30,45,550,0.2,0.3646395015176066,,,314.2013441720046,0.7333333333333333,,
3,2,30,45,550,0.2,0.3646395015176066,,,278.64987315100734,0.7,,
4,2,30,45,550,0.2,0.3646395015176066,,,397.24176009299117,0.7333333333333333,,
0,2,30,45,652,0.1,0.47,668.7371773259947,1.0,,,,
1,2,30,45,652,0.1,0.47,499.48556942900177,1.0,,,,
2,2,30,45,652,0.1,0.47,332.0238144250179,1.0,,,,
3,2,30,45,652,0.1,0.47,826.8184636180231,1.0,,,,
4,2,30,45,652,0.1,0.47,924.1545266199973,1.0,,,,
0,2,30,45,596,0.15,0.40836805933051157,,,,,,
1,2,30,45,596,0.15,0.40836805933051157,,,,,,
2,2,30,45,596,0.15,0.40836805933051157,,,,,,
3,2,30,45,596,0.15,0.40836805933051157,,,,,,
4,2,30,45,596,0.15,0.40836805933051157,,,,,,
0,3,30,45,4751,0.15,0.12836805933051157,92.23059960699175,1.0,64.69547086799867,1.0,459.93999434201396,0.9666666666666667
1,3,30,45,4751,0.15,0.12836805933051157,82.42688917199848,1.0,66.25741440299316,1.0,573.2222346169874,0.9333333333333333
2,3,30,45,4751,0.15,0.12836805933051157,92.03167167000356,1.0,73.98358956500306,1.0,198.90407303598477,0.9666666666666667
3,3,30,45,4751,0.15,0.12836805933051157,82.79065312200692,1.0,77.18273873499129,0.9666666666666667,,
4,3,30,45,4751,0.15,0.12836805933051157,88.34225519801839,1.0,69.35712421502103,1.0,145.7455058649939,0.9666666666666667
0,3,30,45,5578,0.1,0.19,163.8774425899901,1.0,99.04681162998895,1.0,833.791637065995,1.0
1,3,30,45,5578,0.1,0.19,163.3589595889789,1.0,118.9724431319919,1.0,,
2,3,30,45,5578,0.1,0.19,165.73662696400424,1.0,112.14094928200939,1.0,,
3,3,30,45,5578,0.1,0.19,160.9737986669934,1.0,104.20657932199538,1.0,,
4,3,30,45,5578,0.1,0.19,154.05315291701118,1.0,103.47791352501372,1.0,,
0,3,30,45,3558,0.25,0.05072099696478684,28.99386000598315,1.0,,,39.9315259839932,1.0
1,3,30,45,3558,0.25,0.05072099696478684,27.25319482301711,1.0,,,320.1095817290188,0.9666666666666667
2,3,30,45,3558,0.25,0.05072099696478684,52.78135330500663,1.0,,,383.4690164079948,0.9666666666666667
3,3,30,45,3558,0.25,0.05072099696478684,25.44231573099387,1.0,,,40.12356643899693,1.0
4,3,30,45,3558,0.25,0.05072099696478684,24.942772285983665,1.0,,,38.087661951984046,1.0
0,3,30,45,3075,0.3,0.02300756084811815,70.67980480199913,1.0,,,160.965973717015,1.0
1,3,30,45,3075,0.3,0.02300756084811815,66.34474971998134,1.0,,,831.4701112339972,0.9666666666666667
2,3,30,45,3075,0.3,0.02300756084811815,46.404248245002236,1.0,,,,
3,3,30,45,3075,0.3,0.02300756084811815,46.118246660975274,1.0,,,297.2440716139972,0.9666666666666667
4,3,30,45,3075,0.3,0.02300756084811815,47.889065880008275,1.0,,,227.48022585100261,0.9666666666666667
0,3,30,45,4105,0.2,0.08463950151760659,80.61813784998958,1.0,,,921.7801921299833,0.9333333333333333
1,3,30,45,4105,0.2,0.08463950151760659,78.33551646900014,1.0,,,59.389843307988485,1.0
2,3,30,45,4105,0.2,0.08463950151760659,41.696764683001675,1.0,,,696.1233921690146,0.9333333333333333
3,3,30,45,4105,0.2,0.08463950151760659,39.07543410701328,1.0,,,,
4,3,30,45,4105,0.2,0.08463950151760659,30.24402423200081,1.0,,,60.35707480998826,0.9666666666666667
0,2,10,15,57,0.2,0.3646395015176066,0.024232941010268405,1.0,0.014069577999180183,0.8,0.3197082910046447,1.0
1,2,10,15,57,0.2,0.3646395015176066,0.018559051008196548,1.0,0.019059437996475026,0.7,0.19359328100108542,1.0
2,2,10,15,57,0.2,0.3646395015176066,0.023850861995015293,0.8181818181818182,0.014872723986627534,0.8,0.2381865799834486,0.8181818181818182
3,2,10,15,57,0.2,0.3646395015176066,0.02577018301235512,1.0,0.025404865009477362,0.7,0.41764962300658226,0.8181818181818182
4,2,10,15,57,0.2,0.3646395015176066,0.026593699003569782,1.0,0.025126554974121973,0.7,0.3541346639976837,1.0
0,2,10,15,69,0.1,0.47,0.07007917101145722,1.0,0.057515099993906915,0.9,0.4818046430009417,1.0
1,2,10,15,69,0.1,0.47,0.0262226470222231,0.9090909090909091,0.03468749500461854,0.9090909090909091,0.2341485760116484,0.9090909090909091
2,2,10,15,69,0.1,0.47,0.03886447998229414,1.0,0.028100963012548164,1.0,0.34403967097750865,1.0
3,2,10,15,69,0.1,0.47,0.04386309499386698,1.0,0.04884743600268848,0.9,0.36852708100923337,1.0
4,2,10,15,69,0.1,0.47,0.015933488990413025,1.0,0.030508792988257483,0.9,0.16222272999584675,1.0
0,2,10,15,53,0.25,0.33072099696478685,0.020279245974961668,1.0,0.018905435979831964,0.7,0.2818977279821411,1.0
1,2,10,15,53,0.25,0.33072099696478685,0.014147823996609077,1.0,0.013259158993605524,0.7,0.5529160680016503,1.0
2,2,10,15,53,0.25,0.33072099696478685,0.030255772988311946,0.8181818181818182,0.013094124005874619,0.7,0.4087368469918147,1.0
3,2,10,15,53,0.25,0.33072099696478685,0.03572406398598105,1.0,0.030132976011373103,0.7,0.4715808529872447,1.0
4,2,10,15,53,0.25,0.33072099696478685,0.013313962001120672,1.0,0.011224171001231298,0.8,0.233129654021468,1.0
