,rank,clique,order,size,missing,added,findqg_l000_time,findqg_l000_jaccard,findqg_l080_time,findqg_l080_jaccard,findqg_L005_time,findqg_L005_jaccard
0,2,10,15,69,0.25,0.5988857962710238,0.02287051102030091,0.8333333333333334,0.05274888998246752,0.6363636363636364,0.31463690497912467,0.8333333333333334
1,2,10,15,69,0.25,0.5988857962710238,0.034191548998933285,0.8181818181818182,0.07486400299239904,0.7,0.40913839600398205,0.9090909090909091
2,2,10,15,69,0.25,0.5988857962710238,0.014222171012079343,0.9090909090909091,0.02862118699704297,0.8,0.3314229730167426,0.75
3,2,10,15,69,0.25,0.5988857962710238,0.028738991997670382,0.8333333333333334,0.039396636973833665,0.7,0.3712346349784639,0.75
4,2,10,15,69,0.25,0.5988857962710238,0.022524841013364494,0.8333333333333334,0.04196014499757439,0.6363636363636364,0.4075909350067377,0.8333333333333334
0,2,10,15,80,0.15,0.6942807586060571,0.02819643501425162,0.8333333333333334,0.06547979899914935,0.7272727272727273,0.25075324799399823,0.8333333333333334
1,2,10,15,80,0.15,0.6942807586060571,0.03413637200719677,0.8333333333333334,0.056925891985883936,0.9,0.4563931129814591,0.8333333333333334
2,2,10,15,80,0.15,0.6942807586060571,0.02152321601170115,0.9090909090909091,0.03220574700389989,0.6923076923076923,0.22144518201821484,0.9090909090909091
3,2,10,15,80,0.15,0.6942807586060571,0.015581986983306706,0.8333333333333334,0.09141972698853351,0.6363636363636364,0.39460497797699645,0.8181818181818182
4,2,10,15,80,0.15,0.6942807586060571,0.01750779600115493,0.8333333333333334,0.03868831301224418,0.75,0.6259063809993677,0.75
0,2,10,15,87,0.1,0.77,0.02185985300457105,0.8333333333333334,0.027627773000858724,0.9090909090909091,0.5718670029891655,0.8333333333333334
1,2,10,15,87,0.1,0.77,0.032234838989097625,0.75,0.08797413497813977,0.6923076923076923,0.22413319698534906,0.75
2,2,10,15,87,0.1,0.77,0.02232873998582363,0.8333333333333334,0.03884317399933934,0.75,0.1722240840026643,0.8333333333333334
3,2,10,15,87,0.1,0.77,0.014640951994806528,0.7692307692307693,0.04936025699134916,0.75,1.3559245560027193,0.75
4,2,10,15,87,0.1,0.77,0.03391468501649797,0.7692307692307693,0.08526305999839678,0.8333333333333334,0.22007621300872415,0.7692307692307693
0,2,10,15,74,0.2,0.6405571018644881,0.1624243149999529,0.8333333333333334,0.07661429399740882,0.7272727272727273,1.8944272759836167,0.7272727272727273
